title,price,rating,in_stock
A Light in the Attic,£51.77,Three,1
Tipping the Velvet,£53.74,One,1
Soumission,£50.10,One,1
Sharp Objects,£47.82,Four,1
Sapiens: A Brief History of Humankind,£54.23,Five,1
The Requiem Red,£22.65,One,1
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,1
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull,£17.93,Three,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,1
The Black Maria,£52.15,One,1
